武蔵坊弁慶の伝説が多く残るお寺は、なんというでしょー！,がくえんじ,gakuenji,2,秋にはきれいな紅葉がみれるわよ。
358本もの銅剣が出土した出雲市の遺跡の名前は？,こうじんだにいせき,koujindaniiseki,4,古代の出雲はまあまあさかえてたのよ？
浜田市名物の辛くておいしい天ぷらをなんというか！,あかてん,akatenn,11,お土産用に最近は、ハート型の「あかてん」もあるの！
トビウオを使ったちくわのような食べ物をなんというでしょう！,あごのやき,agonoyaki,12,島根の方言でトビウオのことをアゴというのよ。
出雲にある日本三大そばの一つ！,いずもそば,izumosoba,2,粗めの粒がこうばしい！
島根の活火山！高さは１１２６ｍ（いいふろ）って覚えてね。,さんべさん,sanbesann,4,まだまだ現役で、近くには温泉もあるわ！
出雲神話「国譲り」の舞台はどこでしょう！,いなさのはま,inasanohama,11,神様は他の島を引っ張ってきて島根を作ったのよ。
ヤマタノオロチを退治したスサノオノミコトを祀る神社！,くまのたいしゃ,kumanotaisya,12,大蛇をも倒すスサノオノミコトのパワーを感じたまえ！
キュッキュッと音が鳴る石見の砂浜の名前は何でしょう！,ことがはま,kotogahama,2,琴のような音が鳴る海水浴場よ。
仁多郡にある魅力的な岩々がたくさん屹立している渓谷を何というでしょう！,おにのしたぶるい,oninositaburui,4,鬼の下も震えるような絶景なの！
隠岐の島にあるろうそくの火のように夕日がかさなる島を何というでしょう！,ろうそくじま,rousokujima,11,自然の奇跡を感じちゃえ！
